a,##
gale,g1l
gall,g$l
gallant,g{l@nt
galleon,g{l7n
gallery,g{l@rI
galley,g{lI
gallivant,g{lIv{nt
gallon,g{l@n
gallop,g{l@p
galore,g@l$
galosh,g@lQS
galumph,g@lVmf
gambit,g{mbIt
gamble,g{mb@l
gamboge,g{mbuZ
gambol,g{mb@l
game,g1m
gamma,g{m@
gammon,g{m@n
gammy,g{mI
gamp,g{mp
gamut,g{m@t
gander,g{nd@
gang,g{N
gangling,g{NglIN
ganglion,g{Ngl7n
gangrene,g{Ngrin
gannet,g{nIt
gantry,g{ntrI
gap,g{p
gape,g1p
garb,g#b
garbage,g#bI_
garble,g#b@l
garden,g#d@n
gargle,g#g@l
gargoyle,g#g4l
garish,g8rIS
garland,g#l@nd
garlic,g#lIk
garment,g#m@nt
garner,g#n@
garnet,g#nIt
garnish,g#nIS
garret,g{r@t
garrison,g{rIs@n
garrotte,g@rQt
garrulous,g{r@l@s
garter,g#t@
gas,g{s
gash,g{S
gasket,g{skIt
gasoline,g{s5lin
gasp,g#sp
gastric,g{strIk
gat,g{t
gate,g1t
gather,g{D@
gauche,g5S
gaucho,g6J5
gaud,g$d
gaudy,g$dI
gauge,g1_
gaunt,g$nt
gauntlet,g$ntlIt
gauze,g$z
gavel,g{v@l
gavotte,g@vQt
gawk,g$k
gawp,g$p
gay,g1
gaze,g1z
gazebo,g@zib5
gazelle,g@zEl
gazette,g@zEt
gazump,g@zVmp
gear,g7
gecko,gEk5
geezer,giz@
geisha,g1S@
gel,_El
gelatin,_El@tIn
gelatine,_El@tin
geld,gEld
gelignite,_ElIgn2t
gem,_Em
gen,_En
gender,_End@
gene,_in
general,_En@r@l
generate,_En@r1t
generic,_InErIk
generous,_En@r@s
genesis,_En@sIs
genetic,_InEtIk
genial,_inj@l
genie,_inI
genital,_EnIt@l
genitive,_EnItIv
genius,_inj@s
gent,_Ent
genteel,_Entil
gentian,_EnS@n
gentile,_Ent2l
gentle,_Ent@l
gentry,_EntrI
genuine,_EnjUIn
genus,_in@s
geranium,_Ir1nj@m
geriatric,_ErI{trIk
germ,_3m
germane,_3m1n
gerund,_Er@nd
gesture,_EsJ@
get,gEt
geum,_i@m
gewgaw,gjug$
geyser,g2z@
gharry,g{rI
ghat,g#t
ghee,gi
gherkin,g3kIn
ghetto,gEt5
ghost,g5st
ghoul,gul
ghyll,gIl
giant,_2@nt
gibber,_Ib@
gibbet,_IbIt
gibbon,gIb@n
gibbous,gIb@s
gibe,_2b
giddy,gIdI
gift,gIft
gig,gIg
gigantic,_2g{ntIk
giggle,gIg@l
gild,gIld
gill,gIl
gillie,gIlI
gilt,gIlt
gimlet,gImlIt
gimmick,gImIk
gin,_In
ginger,_In_@
gingham,gIN@m
gingko,gINk5
ginkgo,gINk5
ginseng,_InsEN
gipsy,_IpsI
giraffe,_Ir#f
gird,g3d
girdle,g3d@l
girl,g3l
giro,_2@r5
gist,_Ist
give,gIv
gizzard,gIz@d
glace,gl{s1
glacial,gl1sj@l
glacier,gl{sj@
glad,gl{d
glade,gl1d
gladiolus,gl{dI5l@s
glamour,gl{m@
glance,gl#ns
gland,gl{nd
glanders,gl{nd@z
glare,gl8
glass,gl#s
glaucoma,gl$k5m@
glaucous,gl$k@s
glaze,gl1z
gleam,glim
glean,glin
glebe,glib
glee,gli
glen,glEn
glib,glIb
glide,gl2d
glimmer,glIm@
glimpse,glImps
glint,glInt
glisten,glIs@n
glister,glIst@
glitter,glIt@
gloaming,gl5mIN
gloat,gl5t
globe,gl5b
globule,glQbjul
gloom,glum
glory,gl$rI
gloss,glQs
glottis,glQtIs
glove,glVv
glow,gl5
glower,gl6@
glucose,gluk5s
glue,glu
glum,glVm
glut,glVt
gluten,glut@n
glutton,glVt@n
glycerine,glIs@rin
gnash,n{S
gnat,n{t
gnaw,n$
gneiss,n2s
gnome,n5m
gnu,nu
go,g5
goad,g5d
goal,g5l
goat,g5{t
gob,gQb
gobbet,gQbIt
goblet,gQblIt
goblin,gQblIn
god,gQd
godown,g5d6n
goggle,gQg@l
goitre,g4t@
gold,g5ld
golf,gQlf
golliwog,gQlIwQg
gonad,g5n{d
gondola,gQnd@l@
gong,gQN
gonorrhoea,gQn@r7
goo,gu
goober,gub@
good,gUd
goods,gUdz
goof,guf
googly,guglI
goon,g5Qn
goose,gus
gopher,g5f@
gore,g$
gorge,g$_
gorgon,g$g@n
gorilla,g@rIl@
gormand,g$m@nd
gorse,g$s
gospel,gQsp@l
gossamer,gQs@m@
gossip,gQsIp
gouge,g6_
goulash,gul{S
gourd,g9d
gourmand,g9m@nd
gout,g6t
govern,gVv@n
gown,g6n
grab,gr{b
grace,gr1s
grade,gr1d
graduate,gr{djU1t
graffiti,gr@fitI
graft,gr#ft
grail,gr1l
grain,gr1n
gram,gr{m
grammar,gr{m@
grampus,gr{mp@s
grand,gr{n@d
grandiose,gr{ndI5s
grange,gr1n_
granite,gr{nIt
grant,gr#nt
granule,gr{njul
grape,gr1p
graph,gr#f
graphite,gr{f2t
grapnel,gr{pn@l
grapple,gr{p@l
grasp,gr#sp
grass,gr#s
grate,gr1t
gratify,gr{tIf2
gratis,gr1tIs
gratitude,gr{tItjud
gratuity,gr@tju@tI
grave,gr#v
gravel,gr{v@l
graven,gr1v@n
gravity,gr{v@tI
gravure,gr@vj9
gravy,gr1vI
graze,gr1z
grease,griz
great,gr1t
grebe,grib
greed,grid
green,grin
greet,grit
gregarious,grIg8r7s
gremlin,grEmlIn
grenade,gr@n1d
grenadine,grEn@din
grey,gr1
grid,grId
griddle,grId@l
grieve,griv
griffin,grIfIn
griffon,grIf@n
grill,grIl
grille,grIl
grim,grIm
grimace,grIm1s
grime,gr2m
grin,grIn
grind,gr2nd
grip,grIp
gripe,gr2p
grippe,grIp
grisly,grIzlI
grist,grIst
gristle,grIs@l
grit,grIt
grits,grIts
grizzle,grIz@l
groan,gr5n
groat,gr5t
grocer,gr5s@
grog,grQg
groin,gr4n
groom,grum
groove,gruv
grope,gr5p
gross,gr5s
grot,grQt
grotesque,gr5tEsk
grotto,grQt5
grotty,grQtI
grouch,gr6J
ground,gr6nd
groundsel,gr5ns@l
group,grup
grouse,gr6s
grove,gr5v
grovel,grQv@l
grow,gr5
growl,gr6l
groyne,gr4n
grub,grVb
grudge,grV_
gruel,gr9l
gruesome,grus@m
gruff,grVf
grumble,grVmb@l
grunt,grVnt
guano,gw#n5
guarantee,g{r@nti
guaranty,g{r@ntI
guard,g#d
guava,gw#v@
gudgeon,gV_@n
guerrilla,g@rIl@
guess,gEs
guest,gEst
guffaw,gVf$
guide,g2d
guild,gIld
guilder,gIld@
guile,g2l
guillemot,gIlImQt
guillotine,gIl@tin
guilt,gIlt
guinea,gInI
guipure,gIpj9
guise,g2z
guitar,gIt#
gulch,gVlS
gulden,gUld@n
gulf,gVlf
gull,gVl
gullet,gVlIt
gully,gVlI
gulp,gVlp
gum,gVm
gumbo,gVmb5
gumption,gVmpS@n
gun,gVn
gunge,gVn_
gunk,gVNk
gunny,gVnI
guppy,gVpI
gurgle,g3g@l
guru,gUru
gush,gVS
gusset,gVsIt
gust,gVst
gustation,gVst1S@n
gusto,gVst5
gut,gVt
gutter,gVt@
guttural,gVt@r@l
guvnor,gVvn@
guy,g2
guzzle,gVz@l
gybe,_2b
gymkhana,_Imk#n@
gymnasium,_Imn1zj@m
gymnast,_Imn{st
gyp,_Ip
gypsum,_Ips@m
gyrate,_2@r1t
habiliment,h@bIlIm@nt
habilitate,h@bIlIt1t
habit,h{bIt
habitat,h{bIt{t
hacienda,h{sIEnd@
hack,h{k
hackle,h{k@l
hackney,h{knI
haddock,h{d@k
hadji,h{_i
haemorrhage,hEm@rI_
haemorrhoids,hEm@r4dz
haft,h#ft
hag,h{g
haggis,h{gIs
haggle,h{g@l
haha,h#h#
haiku,h2ku
hail,h1l
hair,h8
hake,h1k
halberd,h{lb3d
halcyon,h{ls7n
hale,h1l
half,h#f
halibut,h{lIb@t
hall,h$l
hallow,h{l5
halloween,h{l5in
hallucinate,h@lusIn1t
halma,h{lm@
halo,h1l5
halt,h$lt
halter,h$lt@
halyard,h{lj@d
ham,h{m
hamadryad,h{m@dr2@d
hamlet,h{mlIt
hammer,h{m@
hammock,h{m@k
hamper,h{mp@
hamster,h{mst@
hand,h{nd
handicap,h{ndIk{p
handle,h{nd@l
hang,h{N
hangar,h{N@
hank,h{Nk
hansom,h{ns@m
hap,h{p
haphazard,h{f{z@d
haply,h{plI
happen,h{p@n
harangue,h@r{N
harass,h{r@s
harbinger,h#bIn_@
harbour,h#b@
hard,h#d
hare,h8
harem,h#rim
haricot,h{rIk5
hark,h#k
harlequin,h#lIkwIn
harlot,h#l@t
harm,h#m
harmattan,h#m{t@n
harmonica,h#mQnIk@
harmonium,h#m5nj@m
harmony,h#m@nI
harness,h#nIs
harp,h#p
harpoon,h#pun
harpy,h#pI
harquebus,h#kwIb@s
harridan,h{rId@n
harrow,h{r5
harry,h{rI
harsh,h#S
hart,h#t
hartebeest,h#tIbist
harvest,h#vIst
hash,h{S
hashish,h{SiS
hasp,h#sp
hassle,h{s@l
hassock,h{s@k
haste,h1st
hat,h{t
hatch,h{J
hatchet,h{JIt
hate,h1t
hatred,h1trId
hauberk,h$b3k
haughty,h$tI
haul,h$l
haulm,h$m
haunch,h$nJ
haunt,h$nt
hauteur,5t3
have,h{v
haven,h1v@n
haver,h1v@
havoc,h{v@k
haw,h$
hawk,h$k
hawser,h$z@
hay,h1
hazard,h{z@d
haze,h1z
hazel,h1z@l
he,hi
head,hEd
heal,hil
heap,hip
hear,h7
hearse,h3s
heart,h#t
hearth,h#T
heat,hit
heath,hiT
heathen,hiD@n
heather,hED@
heave,hiv
heaven,hEv@n
hecatomb,hEk@tum
heck,hEk
heckle,hEk@l
hectare,hEkt8
hectic,hEktIk
hector,hEkt@
hedge,hE_
hedonism,hid5nIz@m
heed,hid
heehaw,hih$
heel,hil
hefty,hEftI
hegemony,hIgEm@nI
heifer,hEf@
height,h2t
heinous,h1n@s
heir,8
helicopter,hElIkQpt@
heliotrope,hElj@tr5p
helium,hil7m
hell,hil
helm,hElm
helmet,hElmIt
helot,hEl@t
help,hElp
helve,hElv
hem,@m
hematite,him@t2t
hemlock,hEmlQk
hemp,hEmp
hen,hEn
hence,hEns
henna,hEn@
hep,hEp
hepatic,hIp{tIk
her,h3
herald,hEr@ld
herb,h3b
herd,h3d
here,h7
hereditament,hErIdIt@m@nt
heresy,hEr@sI
heritage,hErItI_
hermaphrodite,h3m{fr@d2t
hermetic,h3mEtIk
hermit,h3mIt
hernia,h3nj@
hero,h7r5
heron,hEr@n
herpes,h3piz
herring,hErIN
hertz,h3ts
hesitate,hEzIt1t
heuristic,hj9rIstIk
hew,hju
hex,hEks
hiatus,h21t@s
hibernate,h2b@n1t
hibiscus,hIbIsk@s
hiccup,hIkVp
hick,hIk
hickory,hIk@rI
hide,1J2dii
hie,h2
hierarch,h2@r#k
high,h2
hijack,h2_{k
hike,h2k
hilarious,hIl8r7s
hill,hIl
hilt,hIlt
him,hIm
hind,h2nd
hinder,hInd@
hinge,hIn_
hint,hInt
hip,hIp
hippo,hIp5
hippodrome,hIp@dr5m
hippopotamus,hIp@pQt@m@s
hire,h2@
hirsute,h3sjut
his,hIz
hiss,hIs
histamine,hIst@min
history,hIst@rI
hit,hIt
hitch,hIJ
hither,hID@
hive,h2v
hoar,h$
hoard,h$d
hoarse,h$s
hoax,h5ks
hob,hQb
hobble,hQb@l
hobby,hQbI
hobnob,hQbnQb
hobo,h5b5
hock,hQk
hockey,hQkI
hod,hQd
hoe,h5
hog,hQg
hoist,h4st
hold,h5ld
hole,h5l
holland,hQl@nd
holler,hQl@
hollow,hQl5
holly,hQlI
holster,h5lst@
holy,h5lI
homage,hQmI_
homburg,hQmb3g
home,h5m
homily,hQmIlI
hominy,hQmInI
homoeopath,h5mj5p{T
homogenize,hQmQ_@n2z
hone,h5n
honest,QnIst
honey,hVnI
honk,hQNk
honky,hQNkI
honour,Qn@
hooch,huJ
hood,hUd
hoodlum,hudl@m
hoodoo,hudu
hooey,huI
hoof,huf
hook,hUk
hookah,hUk@
hooky,hUkI
hooligan,hulIg@n
hoop,hup
hooray,hUr1
hoot,hut
hop,
hope,h5p
horde,h$d
horizon,h@r2z@n
hormone,h$m5n
horn,h$n
hornet,h$nIt
horrendous,hQrEnd@s
horrible,hQrIb@l
horrid,hQrId
horror,hQr@
horse,h$s
hose,h5z
hospice,hQspIs
hospitable,hQspIt@b@l
hospital,hQspIt@l
host,h5st
hostage,hQstI_
hostel,hQst@l
hostile,hQst2l
hot,hQt
hotel,h5tEl
hottentot,hQt@ntQt
hound,h6nd
hour,6@
houri,h9rI
house,h6z
hovel,hQv@l
hover,hQv@
how,h6
howdah,h6d@
howitzer,h6Its@
howl,h6l
hoyden,h4d@n
hub,hVb
hubbub,hVbVb
hubris,hjubrIs
huddle,hVd@l
hue,hju
huff,hVf
hug,hVg
huge,hju_
hula,hul@
hulk,hVlk
hull,hVl
hum,hVm
human,hjum@n
humane,hjum1n
humble,hVmb@l
humbug,hVmbVg
humdrum,hVmdrVm
humerus,hjum@r@s
humid,hjumId
humiliate,hjumIlI1t
hummock,hVm@k
humour,hjum@
hump,hVmp
humus,hjum@s
hun,hVn
hunch,hVnJ
hundred,hVndr@d
hunger,hVNg@
hungry,hVNgrI
hunk,hVNk
hunt,hVnt
hurdle,h3d@l
hurl,h3l
hurricane,hVrIk@n
hurry,hVrI
hurt,h3t
hurtle,h3t@l
husband,hVzb@nd
hush,hVS
husk,hVsk
husky,hVskI
hussar,hUz#
hussy,hVsI
hustle,hVs@l
hut,hVt
hutch,hVJ
hyacinth,h2@sInT
hybrid,h2brId
hydra,h2dr@
hydrangea,h2dr1n_@
hydrant,h2dr@nt
hydrate,h2dr1t
hydraulic,h2dr$lIk
hyena,h2in@
hygiene,h2_in
hymen,h2mEn
hymeneal,h2mEni@l
hymn,hIm
hyperbola,h2p3b@l@
hyperbole,h2p3b@lI
hyphen,h2f@n
hypnosis,hIpn5sIs
hypo,h2p5
hypocrite,hIp@krIt
hypotenuse,h2pQt@njuz
hypothecate,h2pQTIk1t
hypothesis,h2pQTIsIs
hyssop,hIs@p
hysteria,hIst7r7
iamb,2{mb
iambus,2{mb@s
ibex,2bEks
ibid,IbId
ibidem,IbIdEm
ibis,2bIs
ice,2s
ichneumon,Iknjum@n
icicle,2sIk@l
icon,2kQn
id,2d
idea,2d7
idem,2dEm
identity,2dEnt@tI
ides,2dz
idiolect,IdI5lEkt
idiom,Id7m
idiot,Id7t
idle,2d@l
idol,2d@l
idyll,IdIl
if,If
igloo,Iglu
igneous,Ign7s
ignite,Ign2t
ignoramus,Ign@r1m@s
ignore,Ign$
iguana,Igw#n@
ilex,2lEks
ilk,Ilk
ill,2l
illume,Iljum
illumine,IlumIn
illusion,IluZ@n
illustrate,Il@str1t
illustrious,IlVstr7s
image,ImI_
imagine,Im{_In
imam,Im#m
imbecile,ImbIsil
imbibe,Imb2b
imitate,ImIt1t
immaculate,Im{kjUlUt
immanent,Im@n@nt
immediate,Imidj@t
immense,ImEns
immerse,Im3s
imminent,ImIn@nt
immolate,Im5l1t
immune,Imjun
immure,Imj9
imp,Imp
impact,Imp{kt
impair,Imp8
impala,Imp#l@
impart,Imp#t
impeach,ImpiJ
impeccable,ImpEk@b@l
impecunious,ImpIkjunj@s
impede,Impid
impedimenta,ImpEdImEnt@
impel,ImpEl
impend,ImpEnd
imperative,ImpEr@tIv
imperious,Imp7r7s
impervious,Imp3vj@s
impetigo,ImpIt2g5
impetuous,ImpEJ9s
impetus,ImpIt@s
implacable,Impl{k@b@l
implement,ImplImEnt
implicate,ImplIk1t
implicit,ImplIsIt
implore,Impl$
imply,Impl2
important,Imp$t@nt
importune,Imp$tjun
impose,Imp5z
imprecate,ImprIk1t
impresario,ImprIs#rI5
imprimatur,ImprIm1t@
impromptu,ImprQmptju
improve,Impruv
improvise,Impr@v2z
impudent,ImpjUd@nt
impugn,Impjun
impulse,ImpVls
impunity,Impjun@tI
in,In
inamorata,In{m@r#t@
inane,In1n
incantation,Ink{nt1S@n
incarcerate,Ink#s@r1t
incarnate,Ink#n1t
incendiary,InsEndj@rI
incense,InsEns
incentive,InsEntIv
inception,InsEpS@n
incest,InsEst
inch,InJ
inchoate,Ink51t
incident,InsId@nt
incinerate,InsIn@r1t
incipient,InsIp7nt
incise,Ins2z
incite,Ins2t
incline,Inkl2n
include,Inklud
incognito,InkQgnit5
incommode,Ink@m5d
increase,Inkris
increment,InkrIm@nt
incubate,InkjUb1t
incubus,INkjUb@s
inculcate,InkVlk1t
inculpate,InkVlp1t
incumbent,InkVmb@nt
incur,Ink3
indelible,IndEl@b@l
indemnity,IndEmn@tI
index,IndEks
indicate,IndIk1t
indict,Ind2t
indigenous,IndI_In@s
indigent,IndI_@nt
indignant,IndIgn@nt
indigo,IndIg5
individual,IndIvI_9l
indolent,Ind@l@nt
induce,Indjus
induct,IndVkt
indulge,IndVl_
industry,Ind@strI
inebriate,InibrI1t
ineluctable,InIlVkt@b@l
inept,InEpt
inert,In3t
infamy,Inf@mI
infant,Inf@nt
infantry,Inf@ntrI
infect,InfEkt
infer,Inf3
inferior,Inf7r7
infernal,Inf3n@l
inferno,Inf3n5
infest,InfEst
infidel,InfId@l
infinitive,InfIn@tIv
inflate,Infl1t
inflect,InflEkt
influence,Infl9ns
influenza,InflUEnz@
inform,Inf$m
infra,Infr@
infract,Infr{kt
infringe,InfrIn_
infuse,Infjuz
ingenious,In_inj@s
ingenuous,In_Enj9s
ingest,In_Est
inglenook,INg@lnUk
ingot,INg@t
ingratiate,Ingr1SI1t
ingredient,Ingridj@nt
ingress,IngrEs
inherit,InhErIt
inimical,InImIk@l
iniquity,InIkw@tI
initial,InIS@l
inject,In_Ekt
injure,In_@
ink,INk
inkling,INklIN
inn,In
innate,In1t
inner,In@
inning,InIN
innocent,In@s@nt
innocuous,InQkj9s
innovate,In5v1t
innuendo,InjuEnd5
inoculate,InQkjUl1t
inquire,Inkw2@
inquisition,InkwIzIS@n
inquisitor,InkwIzIt@
insect,InsEkt
insert,Ins3t
insidious,InsId7s
insignia,InsIgn7
insinuate,InsInjU1t
insipid,InsIpId
insist,InsIst
insolent,Ins@l@nt
insomnia,InsQmn7
insouciant,Insusj@nt
inspect,InspEkt
inspire,Insp2@
install,Inst$l
instant,Inst@nt
instead,InstEd
instigate,InstIg1t
instil,InstIl
instinct,InstINkt
institute,InstItjut
instruct,InstrVkt
instrument,InstrUm@nt
insular,InsjUl@
insulate,InsjUl1t
insulin,InsjUlIn
insult,InsVlt
intact,Int{kt
intaglio,Int#lI5
integer,IntI_@
integrity,IntEgr@tI
intellect,Int@lEkt
intelligent,IntElI_@nt
intelligible,IntElI_@b@l
intend,IntEnd
intent,IntEnt
inter,Int3
intercalate,Int3k@l1t
interdict,Int@dIkt
interest,Intr@st
interim,Int@rIm
interior,Int7r7
intermit,Int@mIt
intern,Int3n
internecine,Int@nis2n
interpellate,Int3pEl1t
interregnum,Int@rEgn@m
interrogate,IntEr5g1t
interstice,Int3stIs
interval,Int@v@l
intestine,IntEstIn
intimate,IntIm1t
intrepid,IntrEpId
intricate,IntrIk@t
intrigue,Intrig
intrinsic,IntrInsIk
introduce,Intr@djus
introit,Intr4t
introspect,Intr5spEkt
intrude,Intrud
intuit,IntjuIt
intumesce,IntjumEs
inundate,InVnd1t
invade,Inv1d
invective,InvEktIv
invent,InvEnt
invert,Inv3t
invest,InvEst
investigate,InvEstIg1t
invidious,InvId7s
invite,Inv2t
invoice,Inv4s
invoke,Inv5k
involve,InvQlv
iodine,25din
ion,2@n
iota,25t@
irascible,Ir{s@b@l
irate,2r1t
ire,2@
iridescent,IrIdEs@nt
iridium,IrId7m
iris,2@rIs
irk,3k
iron,2@n
irony,2@r@nI
irredentism,IrIdEntIz@m
irrigate,IrIg1t
irritate,IrIt1t
irruption,IrVpS@n
island,2l@nd
isle,2l
ism,Iz@m
isolate,2s@l1t
isosceles,2sQsIliz
issue,ISu
isthmus,Ism@s
it,It
italic,It{lIk
itch,IJ
item,2t@m
iterate,It@r1t
itinerate,ItIn@r1t
its,Its
ivory,2v@rI
ivy,2vI
jab,_{b
jabber,_{b@
jabot,Z{b5
jack,_{k
jackal,_{k$l
jackdaw,_{kd$
jade,_1d
jag,_{g
jaguar,_{gj9
jail,_1l
jalopy,_@lQpI
jam,_{m
jamb,_{m
jamboree,_{mb@ri
jammy,_{mI
jangle,_{Ng@l
janissary,_{nIs@rI
janitor,_{nIt@
janizary,_{nIz@rI
january,_{nj9rI
japan,_@p{n
jape,_1p
japonica,_@pQnIk@
jar,_#
jargon,_#g@n
jasmine,_{smIn
jasper,_{sp@
jaundice,_$ndIs
jaunt,_$nt
jaunty,_$ntI
javelin,_{vlIn
jaw,_$
jay,_1
jazz,_{z
jealous,_El@s
jean,_1n
jeep,_ip
jeer,_7
jejune,_I_un
jellaba,_El@b@
jelly,_ElI
jemmy,_EmI
jenny,_EnI
jeopardy,_Ep@dI
jerboa,_3b5@
jerk,_3k
jerkin,_3kIn
jeroboam,_Er@b5@m
jerry,_ErI
jersey,_3zI
jest,_Est
jet,_Et
jetsam,_Ets@m
jettison,_EtIs@n
jetty,_EtI
jewel,_u@l
jib,_Ib
jiffy,_IfI
jig,_Ig
jihad,_Ih#d
jilt,_Ilt
jimmy,_ImI
jingle,_INg@l
jingo,_INg5
jinks,_INks
jinn,_In
jinrikisha,_INrIkS@
jinx,_INks
jitney,_ItnI
jive,_2v
job,_5b
jockey,_QkI
jocose,_5k5s
jocund,_Qk@nd
jodhpurs,_Qdp@z
jog,_Qg
john,_Qn
johnny,_QnI
join,_4n
joint,_4nt
joist,_4st
joke,_5k
jolly,_QlI
jolt,_5lt
jonquil,_QNkwIl
josh,_QS
joss,_Qs
jostle,_Qs@l
jot,_Qt
joule,_ul
journal,_3n@l
journey,_3nI
joust,_6st
jovial,_5vj@l
jowl,_6l
joy,_4
jubilate,_ubIl1t
jubilee,_ubIli
judder,_Vd@
judge,_V_
judicious,_udIS@s
judo,_ud5
jug,_Vg
juggle,_Vg@l
jugular,_VgjUl@
juice,_us
jujitsu,_u_Itsu
juju,_u_u
jujube,_u_ub
julep,_ulIp
july,_ul2
jumble,_Vmb@l
jumbo,_Vmb5
jump,_Vmp
junction,_VNkS@n
juncture,_VNkJ@
june,_un
jungle,_VNg@l
junior,_unj@
juniper,_unIp@
junk,_VNk
junket,_VNkIt
junta,_Vnt@
juridical,_9rIdIk@l
jurisdiction,_9rIsdIkS@n
jurist,_9rIst
jury,_9rI
just,_Vst
jute,_ut
juvenile,_uv@n2l
kaffir,k{f@
kale,k1l
kampong,k{mpQN
kangaroo,k{Ng@ru
kaolin,k1@lIn
kapok,k1pQk
kappa,k{p@
kaput,k@pUt
karate,k@r#tI
karma,k#m@
katydid,k1tIdId
kava,k#v@
kayak,k2{k
kazoo,k@zu
kebab,kIb{b
kedgeree,kE_@ri
keel,kil
keen,kin
keep,kip
keg,kEg
kelp,kElp
ken,kEn
kennel,kEn@l
kepi,k1pI
kerb,k3b
kerchief,k3JIf
kerfuffle,k@fVf@l
kernel,k3n@l
kerosene,kEr@sin
kersey,k3zI
kestrel,kEstr@l
ketch,kEJ
ketchup,kEJ@p
kettle,kEt@l
key,ki
khaki,k#kI
khan,k#n
kibosh,k2bQS
kick,kIk
kid,kId
kidnap,kIdn{p
kidney,kIdnI
kike,k2k
kill,kIl
kiln,kIln
kilo,kil5
kilt,kIlt
kimono,kIm5n5
kin,kIn
kind,k2nd
kindle,kInd@l
kindred,kIndrId
kinetic,kInEtIk
king,kIN
kink,kINk
kiosk,kiQsk
kip,kIp
kipper,kIp@
kirk,k3k
kirsch,k7S
kirtle,k3t@l
kismet,kIsmEt
kiss,kIs
kit,kIt
kitchen,kIJIn
kite,k2t
kitten,kIt@n
kittiwake,kItIw1k
kitty,kItI
kiwi,kiwi
klaxon,kl{ks@n
knack,n{k
knap,n{p
knave,n1v
knead,nid
knee,ni
kneel,nil
knell,nEl
knife,n2f
knight,n2t
knit,nIt
knob,nQb
knobble,nQb@l
knock,nQk
knoll,n5l
knot,nQt
knout,n6t
know,n5
knowledge,nQlI_
knuckle,nVk@l
koala,k5#l@
kobo,k5b5
kohl,k5l
kohlrabi,k5lr#bI
kola,k5l@
kookaburra,kUk@bVr@
kotow,k5t6
kris,kris
krona,kr5n@
krone,kr5n@
kudos,kjudQs
kukri,kUkrI
kumis,kumIs
kumquat,kVmkwQt
kurus,kUrUS
kvass,kv#s
kwacha,kw#J#
la,l#
laager,l#g@
label,l1b@l
labial,l1bj@l
laboratory,l@bQr@t@rI
labour,l1b@
laburnum,l@b3n@m
labyrinth,l{b@rInT
lace,l1s
lacerate,l{s@r1t
lachrymal,l{krIm@l
lachrymose,l{krIm5s
lack,l{k
lackadaisical,l{k@d1zIk@l
lackey,l{kI
laconic,l@kQnIk
lacquer,l{k@
lacrosse,l@krQs
lactate,l{kt1t
lactic,l{ktIk
lactose,l{kt5s
lacuna,l@kjun@
lad,l{d
ladder,l{d@
lade,l1d
ladle,l1d@l
lady,l1dI
lag,l{g
lager,l#g@
lagoon,l@gun
lair,l8
laird,l8d
lake,l1k
lakh,l#k
lam,l{m
lama,l#m@
lamasery,l#m@s@rI
lamb,l{m
lambast,l{mb1st
lambaste,l{mb1st
lambent,l{mb@nt
lame,l#m1
lament,l@mEnt
laminate,l{mIn1t
lamp,l{mp
lampoon,l{mpun
lamprey,l{mprI
lance,l#ns
land,l{nd
landau,l{nd$
lane,l1n
langsyne,l{Ns2n
language,l{NgwI_
languid,l{NgwId
languish,l{NgwIS
languor,l{Ng@
langur,l{Ng@
lank,l{Nk
lanolin,l{n5lIn
lantern,l{nt@n
lanyard,l{nj@d
lap,l{p
lapel,l@pEl
lapidary,l{pId@rI
lapse,l{ps
larboard,l#b@d
larceny,l#s@nI
larch,l#J
lard,l#d
large,l#_
largesse,l#_Es
largo,l#g5
lariat,l{r7t
lark,l#k
larrup,l{r@p
larva,l#v@
larynx,l{rINks
lascar,l{sk@
lascivious,l@sIv7s
laser,l1z@
lash,l{S
lass,l{s
lassitude,l{sItjud
lasso,l{su
last,l#st
latch,l{J
late,l1t
lateen,l@tin
latent,l1t@nt
lateral,l{t@r@l
laterite,l{t@r2t
latex,l1tEks
lath,l#T
lathe,l1D
lather,l#D@
lathi,l#tI
latitude,l{tItjud
latrine,l@trin
latter,l{t@
lattice,l{tIs
laud,l$d
laudanum,l$d@n@m
laugh,l#f
laughter,l#ft@
launch,l$nJ
launder,l$nd@
laundry,l$ndrI
laureate,l$r7t
laurel,lQr@l
lav,l{v
lava,l#v@
lavatory,l{v@t@rI
lave,l1v
lavender,l{v@nd@
lavish,l{vIS
law,l$
lawn,l$n
lax,l{ks
lay,l1
lazaret,l{z@rEt
lazaretto,l{z@rEt5
laze,l1z
lea,li
leach,liJ
lead,lEd
leaf,lif
league,lig
leak,lik
leal,lil
lean,lin
leap,lip
learn,l3n
lease,lis
leash,liS
least,list
leather,lED@
leave,liv
leaven,lEv@n
lech,lEJ
lecher,lEJ@
lectern,lEkt@n
lecture,lEkJ@
ledge,lE_
ledger,lE_@
lee,li
leech,liJ
leek,lik
leer,l7
lees,liz
left,lEft
leg,lEg
legal,lig@l
legate,lEgIt
legend,lE_@nd
legerdemain,lE_@d@m1n
legible,lE_@b@l
legion,li_@n
legislate,lE_Isl1t
legitimate,lI_ItIm@t
legume,lEgjum
lei,l1i
leisure,lEZ@
lemming,lEmIN
lemon,lEm@n
lemur,lim@
lend,lEnd
lenient,linj@nt
lenity,lEn@tI
lens,lEnz
lent,lEnt
lentil,lEntIl
lento,lEnt5
leonine,li5n2n
